VV,VH,date,orbit,x,y
-9.749995673536457,-16.468595545948556,2019-03-05,DESCENDING,-44.35759600418841,-13.33903873812657
-10.671739811600691,-16.319779378845375,2019-03-10,DESCENDING,-44.35759600418841,-13.33903873812657
-9.475936299875315,-16.372246237438105,2019-03-17,DESCENDING,-44.35759600418841,-13.33903873812657
-9.145498306432717,-14.596021473985324,2019-03-22,DESCENDING,-44.35759600418841,-13.33903873812657
-9.588529797883607,-16.11535825349091,2019-03-29,DESCENDING,-44.35759600418841,-13.33903873812657
-9.921162246861257,-17.73951811758185,2019-04-03,DESCENDING,-44.35759600418841,-13.33903873812657
-8.888872394827544,-17.655215551865737,2019-04-10,DESCENDING,-44.35759600418841,-13.33903873812657
-9.728288364321038,-18.147874063028905,2019-04-15,DESCENDING,-44.35759600418841,-13.33903873812657
-8.558842589870926,-13.751835163415343,2019-04-22,DESCENDING,-44.35759600418841,-13.33903873812657
-9.480774318179133,-17.33272271080161,2019-04-27,DESCENDING,-44.35759600418841,-13.33903873812657
-10.759943806229888,-14.720534987364626,2019-05-04,DESCENDING,-44.35759600418841,-13.33903873812657
-8.401321461000506,-15.602100148703666,2019-05-09,DESCENDING,-44.35759600418841,-13.33903873812657
-11.795766387815402,-13.510793233242355,2019-05-16,DESCENDING,-44.35759600418841,-13.33903873812657
-9.338580459575361,-18.043900289415987,2019-05-21,DESCENDING,-44.35759600418841,-13.33903873812657
-8.600144861646614,-16.095434298028234,2019-05-28,DESCENDING,-44.35759600418841,-13.33903873812657
-9.861145282187286,-13.209317990875162,2019-06-02,DESCENDING,-44.35759600418841,-13.33903873812657
-11.835619412754465,-15.847813245938484,2019-06-09,DESCENDING,-44.35759600418841,-13.33903873812657
-8.922399275310587,-15.757025972451382,2019-06-14,DESCENDING,-44.35759600418841,-13.33903873812657
-11.817090276434703,-15.130107895289626,2019-06-21,DESCENDING,-44.35759600418841,-13.33903873812657
-11.32908036512996,-11.138000032959841,2019-06-26,DESCENDING,-44.35759600418841,-13.33903873812657
-8.513083736452515,-14.091521501127573,2019-07-03,DESCENDING,-44.35759600418841,-13.33903873812657
-10.77741592278545,-16.282046849071058,2019-07-08,DESCENDING,-44.35759600418841,-13.33903873812657
-12.539293325984033,-13.32266139667275,2019-07-15,DESCENDING,-44.35759600418841,-13.33903873812657
-9.17013313681595,-15.259375473522738,2019-07-20,DESCENDING,-44.35759600418841,-13.33903873812657
-12.923738128164937,-13.059032437943669,2019-07-27,DESCENDING,-44.35759600418841,-13.33903873812657
-10.243395339627943,-18.134436424741647,2019-08-01,DESCENDING,-44.35759600418841,-13.33903873812657
-8.787154750437983,-14.528226039306224,2019-08-08,DESCENDING,-44.35759600418841,-13.33903873812657
-9.01570501531212,-15.252228423180147,2019-08-13,DESCENDING,-44.35759600418841,-13.33903873812657
-11.366941675068645,-14.984908222520945,2019-08-20,DESCENDING,-44.35759600418841,-13.33903873812657
-6.470767513133177,-14.305141801574559,2019-08-25,DESCENDING,-44.35759600418841,-13.33903873812657
-8.512631124105216,-14.672692041444993,2019-09-01,DESCENDING,-44.35759600418841,-13.33903873812657
-8.729989885644686,-13.905402910124693,2019-09-06,DESCENDING,-44.35759600418841,-13.33903873812657
-10.484904084699831,-14.814028725486361,2019-09-13,DESCENDING,-44.35759600418841,-13.33903873812657
-7.153189275480774,-12.68253980767635,2019-09-18,DESCENDING,-44.35759600418841,-13.33903873812657
-11.56091242502965,-15.345275550656734,2019-09-25,DESCENDING,-44.35759600418841,-13.33903873812657
-5.646933306690119,-12.9623161229635,2019-09-30,DESCENDING,-44.35759600418841,-13.33903873812657
-10.525086046160308,-15.530058535948525,2019-10-07,DESCENDING,-44.35759600418841,-13.33903873812657
-8.244189336799161,-15.724429063335347,2019-10-12,DESCENDING,-44.35759600418841,-13.33903873812657
-8.79510797126393,-14.299747819106852,2019-10-19,DESCENDING,-44.35759600418841,-13.33903873812657
-8.91735376400092,-12.199495443942471,2019-10-24,DESCENDING,-44.35759600418841,-13.33903873812657
-7.288159228017558,-16.392614930108614,2019-10-31,DESCENDING,-44.35759600418841,-13.33903873812657
-5.471766778695686,-16.876562014590558,2019-11-05,DESCENDING,-44.35759600418841,-13.33903873812657
-8.457360020977871,-17.416694251399512,2019-11-12,DESCENDING,-44.35759600418841,-13.33903873812657
-9.500799414005304,-11.499549577002314,2019-11-17,DESCENDING,-44.35759600418841,-13.33903873812657
-12.744362663611406,-12.299775397995365,2019-11-24,DESCENDING,-44.35759600418841,-13.33903873812657
-11.234088814569784,-14.321949615164769,2019-11-29,DESCENDING,-44.35759600418841,-13.33903873812657
-7.557374313386111,-17.07843979001096,2019-12-06,DESCENDING,-44.35759600418841,-13.33903873812657
-7.883453632930725,-16.113557898588535,2019-12-11,DESCENDING,-44.35759600418841,-13.33903873812657
-10.58710736571821,-14.496316523082832,2019-12-18,DESCENDING,-44.35759600418841,-13.33903873812657
-9.411840532580753,-16.45750041900566,2019-12-23,DESCENDING,-44.35759600418841,-13.33903873812657
-11.164248681030921,-18.34951452020672,2019-12-30,DESCENDING,-44.35759600418841,-13.33903873812657
-8.533512733974554,-13.631410572911445,2020-01-04,DESCENDING,-44.35759600418841,-13.33903873812657
-8.338210698256471,-15.946110253761827,2020-01-11,DESCENDING,-44.35759600418841,-13.33903873812657
-7.255998964608931,-14.262528632981075,2020-01-16,DESCENDING,-44.35759600418841,-13.33903873812657
-4.898822371858411,-16.220875899535734,2020-01-23,DESCENDING,-44.35759600418841,-13.33903873812657
-8.5767223765633,-8.787809211825866,2020-01-28,DESCENDING,-44.35759600418841,-13.33903873812657
-8.9847751056446,-11.811421944740257,2020-02-04,DESCENDING,-44.35759600418841,-13.33903873812657
-10.436237516076467,-16.142947066047345,2020-02-09,DESCENDING,-44.35759600418841,-13.33903873812657
-8.613405420893647,-17.77545288044419,2020-02-16,DESCENDING,-44.35759600418841,-13.33903873812657
-9.222768629500242,-17.198635897755675,2020-02-21,DESCENDING,-44.35759600418841,-13.33903873812657
-7.250785128465477,-16.00025010395154,2020-02-28,DESCENDING,-44.35759600418841,-13.33903873812657
-6.684762098616872,-14.476378727192465,2020-03-04,DESCENDING,-44.35759600418841,-13.33903873812657
-11.95491599150281,-17.2974568379202,2020-03-11,DESCENDING,-44.35759600418841,-13.33903873812657
-6.802531041935663,-17.037923472798553,2020-03-16,DESCENDING,-44.35759600418841,-13.33903873812657
-4.00054979547796,-16.21389079348805,2020-03-23,DESCENDING,-44.35759600418841,-13.33903873812657
-11.686642247232076,-16.619930282909642,2020-03-28,DESCENDING,-44.35759600418841,-13.33903873812657
-7.641494001264423,-13.90845105740727,2020-04-04,DESCENDING,-44.35759600418841,-13.33903873812657
-8.8208199657048,-15.928888085516576,2020-04-09,DESCENDING,-44.35759600418841,-13.33903873812657
-4.727981806679338,-13.747523164504319,2020-04-16,DESCENDING,-44.35759600418841,-13.33903873812657
-10.328424468735838,-15.699924697839517,2020-04-21,DESCENDING,-44.35759600418841,-13.33903873812657
-8.840675085078475,-14.582458875116139,2020-04-28,DESCENDING,-44.35759600418841,-13.33903873812657
-10.067971412431548,-13.1731965469328,2020-05-03,DESCENDING,-44.35759600418841,-13.33903873812657
