epoch,phase,loss,lr,tempo,accuracy,mIoU
1,train,0.6942285297136568,0.01,0:11:59,0.7213565276061871,0.300460613041516
1,val,0.8527534603580702,0.01,0:13:03,0.6200158383256434,0.23254901667763878
2,train,0.6734983708331906,0.01,0:04:28,0.7272545231100985,0.3246056119348398
2,val,0.7279263688876971,0.01,0:05:24,0.6929912904658949,0.26078711927458487
3,train,0.6742952292647918,0.01,0:04:39,0.7279865671676077,0.3212518860509428
3,val,0.6878048204061399,0.01,0:05:16,0.7191188401722597,0.29687135123954705
4,train,0.6722630961730796,0.01,0:04:13,0.7280663219211361,0.32867595272986716
4,val,0.7298005780266307,0.01,0:05:03,0.7014540530388299,0.3052530831891449
5,train,0.672300432884642,0.01,0:04:42,0.7282698773912724,0.3251695257576829
5,val,0.8297509049637362,0.01,0:05:39,0.6679017715356514,0.2525377024329718
6,train,0.672073345091446,0.01,0:04:51,0.7270117375904989,0.3285818186165201
6,val,0.7010830537697175,0.01,0:05:45,0.6956021022257542,0.2781632155927618
7,train,0.6697882062415157,0.01,0:04:55,0.7291933993531281,0.32381464491271467
7,val,0.725314901545607,0.01,0:05:54,0.71956588064489,0.29295048377098354
8,train,0.6705090860479852,0.01,0:04:33,0.7292691542788203,0.32903582098736706
8,val,0.7855354794812175,0.01,0:05:27,0.6671397034180284,0.28219314021852904
9,train,0.6681655232132603,0.01,0:04:00,0.7305119899524325,0.3272332866304422
9,val,0.7267905142091253,0.01,0:04:57,0.7238016137196928,0.3291308012097597
