epoch,phase,loss,lr,tempo,accuracy,mIoU
1,train,1.461564019002628,0.0001,0:03:11,0.6691592075754684,0.18643702442160373
1,val,1.1529111257380906,0.0001,0:03:43,0.7965198597571188,0.3023464746317035
2,train,1.0254206109574306,0.0001,0:02:29,0.8018682888530985,0.3557607504588694
2,val,0.9410870462719964,0.0001,0:02:50,0.8119814881182166,0.35667055339619635
3,train,0.8958266459112713,0.0001,0:02:29,0.8129862511106827,0.3754363664505544
3,val,0.8609228325688931,0.0001,0:02:50,0.8181480034720998,0.3612179265427184
4,train,0.8447904613554065,0.0001,0:02:30,0.8192861436734935,0.3905304100852707
4,val,0.8341855492051196,0.0001,0:02:51,0.8202713498445131,0.3716628284939525
5,train,0.8206399837001475,0.0001,0:02:27,0.8238721880908058,0.39411608328241526
5,val,0.8220636602832374,0.0001,0:02:48,0.8203792468138822,0.3742024822535344
6,train,0.8074569395171726,0.0001,0:03:16,0.8271439490282091,0.40410964415781014
6,val,0.8036761959898804,0.0001,0:03:46,0.8278718132609915,0.3922169644469809
7,train,0.7989445777961074,0.0001,0:05:23,0.8302689455019125,0.4209946014968504
7,val,0.8000463205687105,0.0001,0:05:52,0.8295467897578226,0.40194768544312925
8,train,0.7917644033812973,0.0001,0:05:12,0.8331796615263068,0.4314026004137006
8,val,0.7935952920196748,0.0001,0:05:41,0.8318287028418769,0.4166587255323341
9,train,0.783247664172329,0.0001,0:05:11,0.8372484612047731,0.4408256421194646
9,val,0.7940771574036755,0.0001,0:05:40,0.8331220857891278,0.41449840212147665
10,train,0.7782618058873073,0.0001,0:05:11,0.839166096548469,0.44528206837535417
10,val,0.7864005025178021,0.0001,0:05:40,0.8371068384018171,0.43805933051779045
11,train,0.7727796903102065,0.0001,0:05:06,0.84177369715633,0.45562353890577373
11,val,0.7840491102992712,0.0001,0:05:35,0.8357991306650735,0.440567980964185
12,train,0.767938477247609,0.0001,0:05:11,0.8432924479059198,0.45911869450975623
12,val,0.786209530819759,0.0001,0:05:40,0.836441274276758,0.4287157640891572
13,train,0.76212052725927,0.0001,0:05:10,0.8461056240481014,0.4700514409124123
13,val,0.7767824859563265,0.0001,0:05:39,0.839430163581097,0.4503340171270391
14,train,0.7580311552610048,0.0001,0:05:21,0.8476710075511914,0.4705547336384423
14,val,0.7764470056941317,0.0001,0:05:51,0.8397103065330019,0.4495215242128204
15,train,0.7530906882841778,0.0001,0:05:21,0.8498022583854123,0.47484188278188166
15,val,0.7751986241749872,0.0001,0:05:51,0.8414638861804773,0.47103861833606386
16,train,0.7504972216712243,0.0001,0:05:17,0.8515184112176049,0.4817714472342813
16,val,0.7723293645800212,0.0001,0:05:45,0.8425432183813746,0.4652479672209621
17,train,0.7476007262249125,0.0001,0:05:11,0.8526455339876957,0.4927884491019691
17,val,0.7734270788868144,0.0001,0:05:40,0.8407613624242061,0.4666676827981382
18,train,0.7441684833726855,0.0001,0:05:10,0.854468964318231,0.5016844474903307
18,val,0.771982828123496,0.0001,0:05:40,0.8417793775198975,0.47964393914503356
19,train,0.7416351464133957,0.0001,0:05:15,0.8558752337632379,0.5090241600633573
19,val,0.7707633342674451,0.0001,0:05:48,0.8404466774739493,0.49828765896567223
20,train,0.74120497853105,0.0001,0:05:10,0.8564088732624022,0.5128168363152419
20,val,0.7668596448078272,0.0001,0:05:38,0.8452718496755476,0.5013601761689417
21,train,0.7381834794916938,0.0001,0:05:06,0.8574053996386171,0.5198371011300148
21,val,0.7665538654151894,0.0001,0:05:36,0.8464757298002701,0.5018090128131305
22,train,0.7350006103515625,0.0001,0:05:06,0.858843594661598,0.525398262108305
22,val,0.7634410062212423,0.0001,0:05:35,0.8450438165294788,0.5105813216958469
23,train,0.7359120429408318,0.0001,0:05:06,0.8584356701543284,0.5263053153599399
23,val,0.7658772283132408,0.0001,0:05:34,0.8462215763721004,0.516239730462636
24,train,0.7338326272495355,0.0001,0:05:10,0.859810558078548,0.5284245565174515
24,val,0.7634993707765779,0.0001,0:05:39,0.8436587544376061,0.5189194311391679
25,train,0.7326307109418424,0.0001,0:05:08,0.8600677384445478,0.5253095485543056
25,val,0.7641657928287993,0.0001,0:05:38,0.8453809955879925,0.5174889994210625
26,train,0.7311271246843662,0.0001,0:05:07,0.860502659270928,0.5308051027453509
26,val,0.7617240360436768,0.0001,0:05:37,0.8463422364971389,0.5093397173940162
27,train,0.729273543101248,0.0001,0:05:09,0.8619165203287169,0.5389874471851448
27,val,0.7665198506902087,0.0001,0:05:39,0.845576320235181,0.5242279457424237
28,train,0.7315142106679298,0.0001,0:05:11,0.8606048412707112,0.5409540320119672
28,val,0.7594520906879477,0.0001,0:05:39,0.8472029237999816,0.5226800276277325
29,train,0.7299642573885887,0.0001,0:05:11,0.8614306142913425,0.5378136489996622
29,val,0.759896167681386,0.0001,0:05:42,0.8476462468472934,0.5132216230676717
30,train,0.7293853586599275,0.0001,0:05:11,0.8615475765113667,0.5387432916835811
30,val,0.7591883035496254,0.0001,0:05:40,0.8485722307777971,0.5138469112649336
31,train,0.726790477120471,0.0001,0:05:12,0.8634764053279238,0.5446967591386142
31,val,0.7605196474251288,0.0001,0:05:44,0.8481627240356467,0.5271198191959918
